name;slug;value;date_of_information;ranking;region
"French Polynesia";"french-polynesia";"218,100";"2021";180;"Australia and Oceania"
"Vanuatu";"vanuatu";"211,200";"2021";181;"Australia and Oceania"
"Samoa";"samoa";"171,600";"2021";182;"Australia and Oceania"
"Saint Lucia";"saint-lucia";"140,400";"2021";183;"Central America and the Caribbean"
"Guam";"guam";"136,850";"2021";184;"Australia and Oceania"
"Sao Tome and Principe";"sao-tome-and-principe";"112,200";"2021";185;"Africa"
"Curacao";"curacao";"111,956";"2021";186;"Central America and the Caribbean"
"Aruba";"aruba";"106,800";"2021";187;"Central America and the Caribbean"
"Jersey";"jersey";"96,038";"2021";188;"Europe"
"Grenada";"grenada";"93,600";"2021";189;"Central America and the Caribbean"
"Seychelles";"seychelles";"90,200";"2021";190;"Africa"
"Antigua and Barbuda";"antigua-and-barbuda";"89,280";"2021";191;"Central America and the Caribbean"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"85,000";"2021";192;"Central America and the Caribbean"
"Andorra";"andorra";"74,260";"2021";193;"Europe"
"Tonga";"tonga";"73,700";"2021";194;"Australia and Oceania"
"Kiribati";"kiribati";"70,200";"2021";195;"Australia and Oceania"
"Virgin Islands";"virgin-islands";"67,508";"2022";196;"Central America and the Caribbean"
"Bermuda";"bermuda";"64,000";"2021";197;"North America"
"Dominica";"dominica";"58,320";"2021";198;"Central America and the Caribbean"
"Cayman Islands";"cayman-islands";"55,148";"2021";199;"Central America and the Caribbean"
"Guernsey";"guernsey";"55,069";"2021";200;"Europe"
"Faroe Islands";"faroe-islands";"51,728";"2021";201;"Europe"
"Micronesia, Federated States of";"micronesia-federated-states-of";"44,000";"2021";202;"Australia and Oceania"
"Sint Maarten";"sint-maarten";"39,089";"2022";203;"Central America and the Caribbean"
"Greenland";"greenland";"38,920";"2021";204;"North America"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"37,920";"2021";205;"Central America and the Caribbean"
"Liechtenstein";"liechtenstein";"37,440";"2021";206;"Europe"
"Turks and Caicos Islands";"turks-and-caicos-islands";"37,008";"2022";207;"Central America and the Caribbean"
"Monaco";"monaco";"31,820";"2021";208;"Europe"
"Gibraltar";"gibraltar";"31,152";"2021";209;"Europe"
"San Marino";"san-marino";"25,500";"2021";210;"Europe"
"British Virgin Islands";"british-virgin-islands";"24,087";"2021";211;"Central America and the Caribbean"
"Saint Martin";"saint-martin";"19,284";"2022";212;"Central America and the Caribbean"
"American Samoa";"american-samoa";"18,135";"2021";213;"Australia and Oceania"
"Marshall Islands";"marshall-islands";"16,254";"2021";214;"Australia and Oceania"
"Anguilla";"anguilla";"13,056";"2021";215;"Central America and the Caribbean"
"Northern Mariana Islands";"northern-mariana-islands";"12,299";"2021";216;"Australia and Oceania"
"Cook Islands";"cook-islands";"11,382";"2021";217;"Australia and Oceania"
"Nauru";"nauru";"10,920";"2021";218;"Australia and Oceania"
"Tuvalu";"tuvalu";"7,920";"2021";219;"Australia and Oceania"
"Saint Barthelemy";"saint-barthelemy";"7,077";"2022";220;"Central America and the Caribbean"
"Palau";"palau";"6,696";"2021";221;"Australia and Oceania"
"Wallis and Futuna";"wallis-and-futuna";"5,496";"2021";222;"Australia and Oceania"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"5,099";"2022";223;"North America"
"Antarctica";"antarctica";"4,400";"2021";224;"Antarctica"
"Falkland Islands (Islas Malvinas)";"falkland-islands-islas-malvinas";"3,762";"2021";225;"South America"
"Montserrat";"montserrat";"2,473";"2021";226;"Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"2,287";"2021";227;"Africa"
"Niue";"niue";"1,512";"2021";228;"Australia and Oceania"
"Christmas Island";"christmas-island";"1,139";"2021";229;"Australia and Oceania"
"Norfolk Island";"norfolk-island";"806";"2021";230;"Australia and Oceania"
"Tokelau";"tokelau";"800";"2021";231;"Australia and Oceania"
"Holy See (Vatican City)";"holy-see-vatican-city";"383";"2021";232;"Europe"
"Cocos (Keeling) Islands";"cocos-keeling-islands";"80";"2021";233;"Australia and Oceania"
"Pitcairn Islands";"pitcairn-islands";"37";"2021";234;"Australia and Oceania"
